frameNumber,"TDEP, 0.1 in","CVEL, m/h","TENS, lbf","CS, m/h" 
2265,1142870.0,-701.8895263671875,4506.0,701.8895263671875
2266,1142860.0,-694.9440307617188,4521.0,694.9440307617188
2267,1142850.0,-699.5160522460938,4589.5,699.5160522460938
2268,1142840.0,-701.8019409179688,4617.0,701.8019409179688
2269,1142830.0,-699.5509643554688,4631.0,699.5509643554688
2270,1142820.0,-698.732421875,4778.9091796875,698.732421875
2271,1142810.0,-693.4778442382812,4928.66650390625,693.4778442382812
2272,1142800.0,-695.1177368164062,4995.0,695.1177368164062
2273,1142790.0,-692.6580810546875,4964.5,692.6580810546875
2274,1142780.0,-690.5446166992188,4951.00048828125,690.5446166992188
2275,1142770.0,-690.3719482421875,5015.50048828125,690.3719482421875
2276,1142760.0,-690.5446166992188,5130.0,690.5446166992188
2277,1142750.0,-690.3720703125,5130.0,690.3720703125
2278,1142740.0,-690.3720703125,5036.0,690.3720703125
2279,1142730.0,-690.458251953125,4955.0,690.458251953125
2280,1142720.0,-694.9440307617188,4957.0,694.9440307617188
2281,1142710.0,-695.1177368164062,4935.0,695.1177368164062
2282,1142700.0,-694.9440307617188,4935.0,694.9440307617188
2283,1142690.0,-699.5160522460938,4885.0,699.5160522460938
2284,1142680.0,-695.1177368164062,4866.0,695.1177368164062
2285,1142670.0,-694.9440307617188,4866.0,694.9440307617188
2286,1142660.0,-694.9440307617188,4866.0,694.9440307617188
2287,1142650.0,-694.94384765625,4872.0,694.94384765625
2288,1142640.0,-695.1177368164062,4857.00048828125,695.1177368164062
2289,1142630.0,-695.1177368164062,4857.00048828125,695.1177368164062
2290,1142620.0,-694.9440307617188,4857.00048828125,694.9440307617188
2291,1142610.0,-694.9440307617188,4857.00048828125,694.9440307617188
2292,1142600.0,-699.5160522460938,4819.0,699.5160522460938
2293,1142590.0,-699.69091796875,4771.0,699.69091796875
2294,1142580.0,-699.69091796875,4771.0,699.69091796875
2295,1142570.0,-699.5158081054688,4771.0,699.5158081054688
2296,1142560.0,-699.5160522460938,4743.0,699.5160522460938
2297,1142550.0,-699.5160522460938,4743.0,699.5160522460938
2298,1142540.0,-699.6911010742188,4760.0,699.6911010742188
2299,1142530.0,-699.69091796875,4760.0,699.69091796875
2300,1142520.0,-699.69091796875,4760.0,699.69091796875
2301,1142510.0,-699.5158081054688,4781.0,699.5158081054688
2302,1142500.0,-699.5158081054688,4781.0,699.5158081054688
2303,1142490.0,-694.9440307617188,4755.00048828125,694.9440307617188
2304,1142480.0,-695.1177368164062,4755.00048828125,695.1177368164062
2305,1142470.0,-695.1177368164062,4755.00048828125,695.1177368164062
2306,1142460.0,-694.9440307617188,4766.0,694.9440307617188
2307,1142450.0,-699.5160522460938,4806.00048828125,699.5160522460938
2308,1142440.0,-699.69091796875,4806.00048828125,699.69091796875
2309,1142430.0,-699.69091796875,4806.00048828125,699.69091796875
2310,1142420.0,-699.5160522460938,4767.0,699.5160522460938
2311,1142410.0,-699.5158081054688,4643.0,699.5158081054688
2312,1142400.0,-699.69091796875,4643.0,699.69091796875
2313,1142390.0,-699.5160522460938,4548.0,699.5160522460938
2314,1142380.0,-704.0880737304688,4523.0,704.0880737304688
2315,1142370.0,-704.2640380859375,4523.0,704.2640380859375
2316,1142360.0,-708.6598510742188,4487.0,708.6598510742188
2317,1142350.0,-708.6600341796875,4454.0,708.6600341796875
2318,1142340.0,-708.8372192382812,4454.0,708.8372192382812
2319,1142330.0,-704.0880737304688,4453.0,704.0880737304688
2320,1142320.0,-703.9121704101562,4464.0,703.9121704101562
2321,1142310.0,-704.2640380859375,4464.0,704.2640380859375
2322,1142300.0,-704.0880737304688,4478.0,704.0880737304688
2323,1142290.0,-704.0878295898438,4478.0,704.0878295898438
2324,1142280.0,-704.2640380859375,4478.0,704.2640380859375
2325,1142270.0,-704.0880737304688,4470.0,704.0880737304688
2326,1142260.0,-702.6226196289062,4482.33349609375,702.6226196289062
2327,1142250.0,-701.3701782226562,4584.0,701.3701782226562
2328,1142240.0,-696.0253295898438,4759.4404296875,696.0253295898438
2329,1142230.0,-696.584228515625,4784.66650390625,696.584228515625
2330,1142220.0,-695.0743408203125,4795.75,695.0743408203125
2331,1142210.0,-694.9874267578125,4906.75048828125,694.9874267578125
2332,1142200.0,-695.0482177734375,4961.0,695.0482177734375
2333,1142190.0,-694.978759765625,4903.80029296875,694.978759765625
2334,1142180.0,-694.9440307617188,4924.5,694.9440307617188
2335,1142170.0,-692.6578369140625,4912.50048828125,692.6578369140625
2336,1142160.0,-690.3720703125,4885.0,690.3720703125
2337,1142150.0,-694.9440307617188,4885.0,694.9440307617188
2338,1142140.0,-694.9440307617188,4900.00048828125,694.9440307617188
2339,1142130.0,-690.371826171875,4911.0,690.371826171875
2340,1142120.0,-690.3720703125,4911.0,690.3720703125
2341,1142110.0,-690.3720703125,4921.0,690.3720703125
2342,1142100.0,-685.800048828125,4965.0,685.800048828125
2343,1142090.0,-688.17236328125,4982.50048828125,688.17236328125
2344,1142080.0,-690.3720703125,5058.0,690.3720703125
2345,1142070.0,-694.94384765625,5058.0,694.94384765625
2346,1142060.0,-694.9440307617188,5069.0,694.9440307617188
2347,1142050.0,-690.3720703125,4983.0,690.3720703125
2348,1142040.0,-690.3720703125,4983.0,690.3720703125
2349,1142030.0,-690.5446166992188,4880.0,690.5446166992188
2350,1142020.0,-690.371826171875,4837.0,690.371826171875
2351,1142010.0,-690.3720703125,4837.0,690.3720703125
2352,1142000.0,-690.5446166992188,4797.0,690.5446166992188
2353,1141990.0,-685.800048828125,4687.0,685.800048828125
2354,1141980.0,-685.800048828125,4687.0,685.800048828125
2355,1141970.0,-690.5446166992188,4656.0,690.5446166992188
2356,1141960.0,-690.3720703125,4710.00048828125,690.3720703125
2357,1141950.0,-690.3720703125,4710.00048828125,690.3720703125
2358,1141940.0,-694.94384765625,4710.00048828125,694.94384765625
2359,1141930.0,-694.94384765625,4710.00048828125,694.94384765625
2360,1141920.0,-695.1177368164062,4713.0,695.1177368164062
2361,1141910.0,-694.9440307617188,4671.0,694.9440307617188
2362,1141900.0,-694.9440307617188,4671.0,694.9440307617188
2363,1141890.0,-694.9440307617188,4671.0,694.9440307617188
2364,1141880.0,-694.9440307617188,4671.0,694.9440307617188
2365,1141870.0,-690.5446166992188,4669.0,690.5446166992188
2366,1141860.0,-690.371826171875,4721.0,690.371826171875
2367,1141850.0,-690.371826171875,4721.0,690.371826171875
2368,1141840.0,-694.9440307617188,4721.0,694.9440307617188
2369,1141830.0,-690.5448608398438,4714.00048828125,690.5448608398438
2370,1141820.0,-690.3720703125,4706.00048828125,690.3720703125
2371,1141810.0,-690.3720703125,4706.00048828125,690.3720703125
2372,1141800.0,-690.371826171875,4706.00048828125,690.371826171875
2373,1141790.0,-692.7443237304688,4787.0,692.7443237304688
2374,1141780.0,-694.9440307617188,4799.0,694.9440307617188
2375,1141770.0,-701.889404296875,4724.5,701.889404296875
2376,1141760.0,-701.8019409179688,4636.00048828125,701.8019409179688
2377,1141750.0,-699.603515625,4473.00048828125,699.603515625
2378,1141740.0,-701.9774780273438,4428.00048828125,701.9774780273438
2379,1141730.0,-701.8019409179688,4417.5,701.8019409179688
2380,1141720.0,-699.69091796875,4433.0,699.69091796875
2381,1141710.0,-699.5160522460938,4433.0,699.5160522460938
2382,1141700.0,-704.1766357421875,4551.50048828125,704.1766357421875
2383,1141690.0,-706.3739013671875,4556.0,706.3739013671875
2384,1141680.0,-701.8900146484375,4539.0,701.8900146484375
2385,1141670.0,-700.5904541015625,4656.66650390625,700.5904541015625
2386,1141660.0,-697.6065063476562,4716.28564453125,697.6065063476562
2387,1141650.0,-694.9788208007812,4866.1337890625,694.9788208007812
2388,1141640.0,-692.011474609375,4881.3330078125,692.011474609375
2389,1141630.0,-695.03076171875,4893.5,695.03076171875
2390,1141620.0,-692.0693969726562,4861.6669921875,692.0693969726562
2391,1141610.0,-692.657958984375,4912.0,692.657958984375
2392,1141600.0,-693.4200439453125,4952.33349609375,693.4200439453125
2393,1141590.0,-696.4679565429688,5026.6669921875,696.4679565429688
2394,1141580.0,-696.1741943359375,4942.25,696.1741943359375
2395,1141570.0,-697.4039306640625,4879.0,697.4039306640625
2396,1141560.0,-701.89013671875,4875.5,701.89013671875
2397,1141550.0,-694.94384765625,4885.0,694.94384765625
2398,1141540.0,-695.1177368164062,4902.00048828125,695.1177368164062
2399,1141530.0,-694.9440307617188,4901.0,694.9440307617188
2400,1141520.0,-694.9440307617188,4901.0,694.9440307617188
2401,1141510.0,-695.1177368164062,4929.0,695.1177368164062
2402,1141500.0,-694.94384765625,4945.00048828125,694.94384765625
